key,enabled,identity,password,username
user-account-anonymous-01,false,"UserIdentity{name: 'John', surname: 'Doe', email: 'john.doe@acme.com'}",HIDDEN-PASSWORD,anonymous
user-account-administrator-01,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator@acme.com'}",administrator,administrator
user-account-patron1,true,"UserIdentity{name: 'Patron1', surname: 'One', email: 'patron1@acme.com'}",patron1,patron1
user-account-patron2,true,"UserIdentity{name: 'Patron2', surname: 'Two', email: 'patron2@acme.com'}",patron2,patron2
user-account-patron3,true,"UserIdentity{name: 'Patron3', surname: 'Three', email: 'patron3@acme.com'}",patron3,patron3
user-account-patron4,true,"UserIdentity{name: 'Patron4', surname: 'Four', email: 'patron4@acme.com'}",patron4,patron4
user-account-inventor1,true,"UserIdentity{name: 'Inventor1', surname: 'One', email: 'inventor1@acme.com'}",inventor1,inventor1
user-account-inventor2,true,"UserIdentity{name: 'Inventor2', surname: 'Two', email: 'inventor2@acme.com'}",inventor2,inventor2
user-account-inventor3,true,"UserIdentity{name: 'Inventor3', surname: 'Three', email: 'inventor3@acme.com'}",inventor3,inventor3
user-account-inventor4,true,"UserIdentity{name: 'Inventor4', surname: 'Four', email: 'inventor4@acme.com'}",inventor4,inventor4
